mid,year,month,day,hour,minute,day_of_year,day_of_week,day_since_hire,Size (MB),Rcpt Count,File Count,Lev_mail,Rcpt Count Personal Max,Rcpt Count Job Max,Rcpt Count Personal Percentile,Rcpt Count Job Percentile,File Count Personal Max,File Count Job Max,File Count Personal Percentile,File Count Job Percentile,Size (MB) Personal Max,Size (MB) Job Max,sub_sensitive_count,files_sensitive_count,files_sensitive_count Personal Max,files_sensitive_count Job Max,files_sensitive_count Personal Percentile,files_sensitive_count Job Percentile,sub_sensitive_count Personal Max,sub_sensitive_count Job Max,sub_sensitive_count Personal Percentile,sub_sensitive_count Job Percentile,Manager ACF2,Job Family,Division,Employment Type,Business Location,Business Group,Employee Status,Local Admin,Privileged User,Government Cleared,target
292,0,0.75,0.066666667,0.434782609,0.016949153,0.621212121,0.833333333,0.975560081,0.006666667,0.0,0.068965517,0,0.285714286,0.55,0.348314607,0.263888889,0.421052632,0.777777778,0.448979592,0.593023256,0.808131869,0.93191044,0.333333333,0.142857143,0.142857143,0.142857143,0.788888889,0.865853659,0.333333333,1,0.865168539,0.833333333,0.206896552,0.0875,0.317073171,0.666666667,0.622641509,0.736842105,0.333333333,0.5,0.5,1,1
157,0,0.5,0.566666667,0.304347826,0.525423729,0.507575758,0.666666667,0.354378819,0.06,0.0,0.0,0,0.0,0.8,1.0,0.125,0.0,0.866666667,1.0,0.058139535,1.2e-07,0.943834011,0.0,0.0,0.0,0.142857143,1.0,0.170731707,0.0,1,1.0,0.066666667,0.78817734,0.1125,0.219512195,0.666666667,0.754716981,0.526315789,1.0,0.5,0.5,1,1
102,0,0.5,0.6,0.130434783,0.271186441,0.515151515,0.833333333,0.968431772,0.14,0.0,0.034482759,0,0.071428571,0.675,0.404494382,0.069444444,0.131578947,1.0,0.663265306,0.325581395,0.204620524,0.940978355,0.0,0.0,0.142857143,0.142857143,0.377777778,0.231707317,0.333333333,1,0.382022472,0.083333333,0.679802956,0.5,0.829268293,0.666666667,0.716981132,0.842105263,0.333333333,0.5,0.5,1,0
525,0,0.75,0.933333333,0.391304348,0.033898305,0.818181818,0.5,0.988798371,0.02,0.0,0.413793103,0,0.035714286,0.125,0.426966292,0.319444444,0.342105263,0.733333333,0.969387755,1.0,0.609970173,0.598493992,0.0,0.0,0.142857143,0.142857143,0.422222222,0.353658537,0.333333333,1,0.438202247,0.133333333,0.837438424,0.2625,0.487804878,0.666666667,0.811320755,0.947368421,0.333333333,0.5,0.5,1,0
37,0,0.25,0.1,0.913043478,0.474576271,0.166666667,0.166666667,0.327393075,0.0,0.0,0.0,1,0.107142857,0.85,0.438202247,0.138888889,0.052631579,0.844444444,0.316326531,0.023255814,0.005111462,0.989014129,0.333333333,0.142857143,0.142857143,0.142857143,0.811111111,0.695121951,0.333333333,1,1.0,0.916666667,0.310344828,0.1,0.0,0.0,0.867924528,0.631578947,0.0,0.0,0.0,0,0
296,0,0.5,0.966666667,0.304347826,0.796610169,0.598484848,0.333333333,0.961812627,0.0,0.5,0.344827586,0,0.035714286,0.825,1.0,0.722222222,0.263157895,0.755555556,1.0,0.604651163,0.0,0.953162016,0.0,0.0,0.0,0.142857143,1.0,0.134146341,0.0,1,1.0,0.033333333,0.142857143,0.35,0.024390244,0.666666667,0.830188679,0.894736842,1.0,0.5,0.5,1,0
648,0,1.0,0.566666667,0.47826087,0.288135593,0.96969697,0.333333333,0.99898167,0.0,0.0,0.206896552,0,0.178571429,0.775,0.202247191,0.111111111,0.315789474,0.911111111,0.806122449,0.476744186,0.595930161,0.959467948,0.0,0.0,0.142857143,0.142857143,0.344444444,0.109756098,0.333333333,1,0.359550562,0.066666667,0.315270936,0.8375,0.487804878,0.666666667,0.886792453,0.526315789,0.333333333,0.5,0.5,1,1
378,0,0.75,0.3,0.47826087,0.423728814,0.674242424,0.833333333,0.979124236,0.08,0.0,0.034482759,0,0.142857143,0.6,0.213483146,0.263888889,0.5,0.8,0.5,0.430232558,0.164076208,0.980394551,0.0,0.0,0.142857143,0.142857143,0.444444444,0.243902439,0.333333333,1,0.438202247,0.05,0.615763547,0.375,0.097560976,0.666666667,0.716981132,0.631578947,1.0,0.5,0.5,1,0
646,0,1.0,0.566666667,0.434782609,0.949152542,0.96969697,0.333333333,0.99898167,0.026666667,0.0,0.034482759,0,0.178571429,0.775,0.202247191,0.111111111,0.315789474,0.911111111,0.387755102,0.244186047,0.595930161,0.959467948,0.0,0.0,0.142857143,0.142857143,0.344444444,0.109756098,0.333333333,1,0.359550562,0.066666667,0.315270936,0.8375,0.487804878,0.666666667,0.886792453,0.526315789,0.333333333,0.5,0.5,1,0
461,0,0.75,0.5,0.608695652,0.694915254,0.71969697,0.666666667,0.982179226,0.006666667,0.0,0.103448276,0,0.214285714,0.925,0.224719101,0.069444444,0.157894737,0.888888889,0.653061224,0.441860465,0.104723895,0.98957809,0.0,0.0,0.142857143,0.142857143,0.377777778,0.146341463,0.333333333,1,0.370786517,0.066666667,0.842364532,0.5375,0.487804878,0.666666667,0.320754717,0.947368421,0.333333333,0.5,0.5,1,0
